Timestamp,Perspective,Outcome,Description,Action,Counter action,Beat,Parry,Disengage,Distance,Location,Prep,Target,Flick,Period,Related to Revisão de combate (Toques dados),Created Time
2:50,Against,Hit,"Eu ataco, ele faz parada e resposta, erra, eu erro a remessa/ele para, caio no chao, e ele toca a resposta dele",Couter-riposte,Parry,,8,,Arm,Opp meter,,Alta-ext,No,2,https://www.notion.so/Shimbo-nacional-2023-RIO-0f2852cb56f94a149b41fd13e2cc10d2,"May 11, 2023 9:18 PM"
2:46,Against,No hit,Ataque meu fora de distancia,Avoid with distance,Attack,6,,Int-ext,Too far,Opp side,Moving arm,Alta-ext,No,2,https://www.notion.so/Shimbo-nacional-2023-RIO-0f2852cb56f94a149b41fd13e2cc10d2,"May 11, 2023 9:36 PM"
2:43,For,Foil change,Troquei o florete,,,,,,,,,,No,2,https://www.notion.so/Shimbo-nacional-2023-RIO-0f2852cb56f94a149b41fd13e2cc10d2,"May 11, 2023 9:40 PM"
2:43,Against,Hit,"Depois que meu ataque ficou fora de distância, ele começou o dele e finalizou com um ""shimbo”",Attack,Parry,,C6,alta-ext -> baixa-ext,Lunge,Opp side,Braço interna superior,Baixa-ext,No,2,https://www.notion.so/Shimbo-nacional-2023-RIO-0f2852cb56f94a149b41fd13e2cc10d2,"May 11, 2023 9:36 PM"
2:31,For,Off-target,"Levei até o fundo da pista, finalizei no braço enquanto ele tentava tocar e sair",Attack,Counter-attack,,,Ext-int,Too far,Opp meter,Braço baixa interna,Arm,No,2,https://www.notion.so/Shimbo-nacional-2023-RIO-0f2852cb56f94a149b41fd13e2cc10d2,"May 11, 2023 9:40 PM"
2:28,For,Off-target,Afundo de longe no braço,Attack,Parry,4,4,Ext-int,Too far,Opp meter,Braço baixa interna,Arm,No,2,https://www.notion.so/Shimbo-nacional-2023-RIO-0f2852cb56f94a149b41fd13e2cc10d2,"May 11, 2023 9:45 PM"
2:21,For,Hit,Não deu pra ver. vídeo começou depois do toque,Attack,Counter-attack,,,,,Opp meter,,Alta-ext,No,2,https://www.notion.so/Shimbo-nacional-2023-RIO-0f2852cb56f94a149b41fd13e2cc10d2,"May 11, 2023 9:46 PM"
2:17,For,Hit,"Eu ataco, ele faz contra-ataque, eu passo o ataque, eu passo a primeira remessa, e toco na segunda agachando",Remise,Parry,,,,Close,Middle,,Baixa-int,No,2,https://www.notion.so/Shimbo-nacional-2023-RIO-0f2852cb56f94a149b41fd13e2cc10d2,"May 11, 2023 9:49 PM"
2:13,Against,Hit,A gente fica no vai e vem e eu puxo o braço quando ele faz afundo,Attack on prep,Attack,,,,Lunge,My side,,Back,Yes,2,https://www.notion.so/Shimbo-nacional-2023-RIO-0f2852cb56f94a149b41fd13e2cc10d2,"May 11, 2023 9:52 PM"
2:09,Against,Off-target,Ataque dele no braço eu tentei parar,Attack,Parry,,4,Ext-int,Lunge,Middle,Braço interna superior,Arm,No,2,https://www.notion.so/Shimbo-nacional-2023-RIO-0f2852cb56f94a149b41fd13e2cc10d2,"May 11, 2023 9:55 PM"
